Order,Family,subfamily,Tribe,Genus and species,Genus,Species,Author,Status ,Kau ,Kil,Ola,Lau,Koh,Hal,KoK,Adult Body Size,Trophic Information Simplified,Trophic Information,Host identity (Genus species),Other host information ,Intermediary (eg fungus)if relevant,"Height (Ground, middle or canopy)","Microhabitat (under bark, under leaves, in leaf axils, etc)"
HOMOPTERA,Delphacidae,,,Aloha campylothecae,Aloha,campylothecae,"Muir, 1916",end,no,no,no,no,no,no,no,"male 2.2mm, female 2.8mm ",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Bidens sp.,,na,middle,on leaves or stems
HOMOPTERA,Delphacidae,,,Aloha kirkaldyi,Aloha,kirkaldyi,"Muir, 1916",end,no,no,no,no,no,no,no,"male 2mm, female 2.7mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Chamaesyce sp.,,na,middle,on leaves or stems
HOMOPTERA,Delphacidae,,,Aloha dubautiae,Aloha,dubautiae,"Kirkaldy, 1910",end,no,no,no,no,no,no,no,3mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Dubautia sp.,,na,middle,on leaves or stems
HOMOPTERA,Delphacidae,,,Aloha flavocollaris,Aloha,flavocollaris,"Muir, 1916",end,no,no,no,no,no,no,no,male 2.5mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Dubautia sp.,,na,middle,on leaves or stems
HOMOPTERA,Delphacidae,,,Aloha plectranthi,Aloha,plectranthi,"Muir, 1916",end,no,no,no,no,no,no,no,"male 2mm, female 2.6mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Plectranthus sp.,,na,lower,on leaves or stems
HOMOPTERA,Cicadellidae,,,Balclutha lobata,Balclutha,lobata,"Namba, 1956",end,poss,poss,poss,poss,poss,poss,KoK,"female 3.3-3.7mm, male 3.2-3.5mm",herbivore,herbivore,Cyathodes sp.,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Balclutha nigriventris,Balclutha,nigriventris,"Knight & Webb, 1988",end,prob not,prob not,prob not,prob not,prob not,prob not,no,"female 3.2-3.5mm, male 3.0-3.3mm",herbivore,herbivore,Deschampsia sp. ,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Balclutha plutonis,Balclutha,plutonis,"(Kirkaldy, 1910)",end,poss,Kil,Ola,poss,poss,Hal,no,4mm,herbivore,herbivore,"Argyroxiphium virescens, Coprosma sp., Cyathodes sp., Deschampsia sp., Eragrostis sp., Sophora sp., Vincentia sp.","Argyroxiphium virescens, Coprosma sp., Cyathodes sp., Deschampsia sp., Eragrostis sp., Sophora sp., Vincentia sp., ""grasses and low herbage""",na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Balclutha timberlakei,Balclutha,timberlakei,"(Osborn, 1935)",end,no,no,no,no,no,no,no,"female 2.5mm, male 2.25mm",herbivore,herbivore,Eragrostis variabilis,,na,,on leaves or stems
HOMOPTERA,Cicadellidae,,,Balclutha usitata,Balclutha,usitata,"Namba, 1956",end,poss,Kil,poss,poss,Koh,Hal,KoK,2.6-3mm,herbivore,herbivore,Cyathodes sp.,"Cyathodes sp., ""grass""",na,,on leaves or stems
